Value|Name|Description|verFailData
129|VER\_CMD\_INV\_DEST|Failure code for all (1,10) reports|None
130|VER\_REP\_CR\_FD|Failure code for start actions when they unsuccessfully attempt to create a new report from the OutFactory|None
131|VER\_OUTLOADER\_FD|Failure code for start actions when the Load operation in the OutLoader has failed|None
132|VER\_SID\_IN\_USE|A (3,1) or (3,2) command attempted to create a new report with a SID which is already in use|The SID in use
133|VER\_FULL\_RDL|A (3,1) or (3,2) command attempted to create a new report at a time when the RDL is already full|None
134|VER\_ILL\_DI\_ID|A service 3 command carried an illegal data item identifier|The illegal data item identifier
135|VER\_ILL\_NID|A service 3 ommand carried too many data item identifiers|The number of data item identifiers
136|VER\_ILL\_SID|A service 3 command had an invalid SID|The invalid SID
137|VER\_ENABLED\_SID|A (3,3) or (3,4) command attempted to enabled a SID which is already enabled|The enabled SID
138|VER\_SID\_START\_FD|All the instructions in a service 3 command have been rejected|None
139| VER\_FACT\_PRGR\_FD|The progress action of a multi-instruction service 3 command has failed to retrieve a report from the OutFactory|The SID for which the retrieval from the OutFactory was attempted
140|VER\_ILL\_EID|The start action of a service 5 command has encountered an illegal Event Identifier (EID)|The illegal EID
141|VER\_EID\_ST\_FD|All the instructions in a service 5 command have been rejected|None
142|VER\_ILL\_MON|A Parameter or Functional Monitor Identifier in a service 12 command is out-of-range or not defined|The rejected Parameter or Functional Monitor Identifier
143|VER\_MON\_START\_FD|All the instructions in a service 12 command have been rejected|None
144|VER\_PMDL\_FULL|A service 12 command has found the Parameter Monitor Definition List (PMDL) full|The parameter monitor identifier for which the violation was found
145|VER\_MON\_ILL\_DI|A service 12 command has found the data item identifier of the parameter to be monitored illegal|The parameter monitor identifier for which the violation was found
146|VER\_MON\_PROT|A service 12 command as found a parameter monitor which belongs to a protected functional monitor|The parameter monitor identifier for which the violation was found
147|VER\_MON\_ENB|A service 12 command has found a parameter or functional monitor which is enabled|The parameter or functional monitor identifier for which the violation was found
148|VER\_MON\_USE|A service 12 command has found a parameter monitor which is used by a functional monitor|The parameter monitor identifier for which the violation was found
149|VER\_FMDL\_FULL|A service 12 command has found a Functional Monitor Definition List (FMDL) full|The functional monitor identifier for which the violation was found
150|VER\_MON\_TMP|A service 12 command has found too many parameter monitors in a functional monitor|The functional monitor identifier for which the violation was found
152|VER\_MON\_MFN|A service 12 command has found a value of minimum failing number equal to zero|The functional monitor identifier for which the violation was found
153|VER\_SCD\_ILL\_SS|Failure code for start action of service 11 command when it finds an illegal sub-schedule identifier|The sub-schedule identifier
154|VER\_FULL\_TBS|A service 11 command found the Time-Based Schedule (TBS) full|Identifier of the request within the command where the error occurred
155|VER\_SCD\_ILL\_G|A service 11 command found an illegal schedule group identifier|The illegal group identifier
156|VER\_SCD\_ILL\_RT|A service 11 command found an illegal release time|Coarse part of illegal release time
157|VER\_SCD\_ILL\_DS|A service 11 command found an illegal destination for an scheduled command|Illegal destination
158|VER\_SCD\_CRFAIL|A service 11 command was unable to create an InCommand for a scheduled command (either due to lack of resources or due to illegal command type)|Identifier of the request within the command where the error occurred
159|VER\_SCD\_ST\_FD|All instructions in a service 11 command have been rejected|None
160|VER\_ILL\_ACT\_ID|Command (11,5) was unable to find an activity identifier in the TBS|The sequence count part of the activity ID
161|VER\_TST\_TO|The time-out of the (17,3) command has triggered|None
254|VER\_CRE\_FD|The InLoader has failed to create an InCommand to hold an incoming command|None
255|VER\_CMD\_LD\_FD|The InLoader has failed to load an InCommand component into its InManager|None
